Title;Data Col0;Data Col1;Data Col2;Data Col3;Data Col4
UTVM;0.7547926795696492;16;1;16;15
SJMO;0.9772813343135617;20;19;5;1
ZUZW;0.4372698609332878;10;10;16;1
WLYC;0.7889463831215241;8;14;11;18
PBSK;0.8766120362139475;15;6;17;1
NDBK;0.899817513285846;9;18;1;2
HCTJ;0.9223198386935332;3;13;10;19
TQDN;0.012946244286455078;14;18;4;0
UHLG;0.24005813375901486;7;14;16;0
LGRW;0.3473541030003685;6;6;16;19
ZKCB;0.8171699440109964;15;17;1;7
WEAX;0.06341890385899884;13;7;13;1
TXRI;0.990851837470838;14;13;19;4
SJFZ;0.28097833507872694;18;19;1;8
CQAU;0.016472848393301653;9;9;14;3
XQLF;0.6850657787482333;14;10;16;17
ZGGS;0.8869659983026936;16;17;0;6
DTDL;0.8860986808655525;4;10;20;7
AFDK;0.9238436790929072;17;10;8;18
FWWV;0.9261515199586042;13;19;6;2
NKBI;0.2203711186960966;8;11;11;3
KWUP;0.6006880511352782;13;12;11;5
NXCJ;0.6434495280359265;10;10;15;20
NSRZ;0.8798252005653977;0;10;18;19
LNMR;0.9445953249352849;8;0;3;10
HDFD;0.8475655711704319;4;18;9;16
YDGU;0.2791199824646593;20;14;11;5
BSKN;0.04977149695584304;19;9;7;7
HWYL;0.17105542995490586;19;5;8;0
YNPZ;0.4201922870434591;3;14;19;3
GFRM;0.45787927396990935;16;2;3;5
BEKA;0.676316791782094;16;18;14;13
FECY;0.9148975118295983;4;16;13;5
TFWN;0.8909210801306169;2;13;2;12
JFWW;0.9292259716210554;0;18;10;9
LZJJ;0.16113740491438355;16;19;3;2
NGOX;0.9849807890134853;13;3;6;17
ELVB;0.12759725386139553;13;17;15;6
IITH;0.9072750459084662;12;20;1;12
KUQX;0.37184326313688554;13;0;17;6
